lambda,fidelity
0.0,1.0
0.041666666666666664,0.98797
0.08333333333333333,0.973045
0.125,0.9552175
0.16666666666666666,0.9354625
0.20833333333333331,0.91231
0.25,0.8885075
0.29166666666666663,0.8612925
0.3333333333333333,0.8316125
0.375,0.8021825
0.41666666666666663,0.76931
0.4583333333333333,0.7362425
0.5,0.70212
0.5416666666666666,0.6654475
0.5833333333333333,0.63075
0.625,0.592885
0.6666666666666666,0.554965
0.7083333333333333,0.51608
0.75,0.4770375
0.7916666666666666,0.4389275
0.8333333333333333,0.4009725
0.875,0.3624225
0.9166666666666666,0.3224875
0.9583333333333333,0.286175
1.0,0.250735
