lambda,fidelity,error
0.0,1.0,0.0
0.041666666666666664,0.98925,0.004045664635600682
0.08333333333333333,0.9635,0.0053211829776140945
0.125,0.962875,0.006077752237926864
0.16666666666666666,0.93425,0.0066994271560149084
0.20833333333333331,0.9163749999999999,0.007254256428340882
0.25,0.893875,0.00756620376761854
0.29166666666666663,0.86025,0.007832411875102713
0.3333333333333333,0.82025,0.00795508043249721
0.375,0.7938749999999999,0.008053247719282265
0.41666666666666663,0.755625,0.008054859630798975
0.4583333333333333,0.745625,0.008132915495265212
0.5,0.715125,0.008054621271551196
0.5416666666666666,0.6709999999999999,0.007980274754433584
0.5833333333333333,0.613625,0.007755932079503727
0.625,0.5888749999999999,0.007666325131092797
0.6666666666666666,0.5543750000000001,0.007510577827096594
0.7083333333333333,0.518625,0.007346125546631707
0.75,0.487375,0.007166161667648519
0.7916666666666666,0.4265,0.006794840931269105
0.8333333333333333,0.40925,0.006684749142170557
0.875,0.368875,0.006391892906007969
0.9166666666666666,0.316875,0.0059775545336805585
0.9583333333333333,0.28675,0.005711933437440426
1.0,0.251,0.005380668159601557
