lambda,fidelity,error
0.0,0.9566470588235294,0.0015096787883572705
0.041666666666666664,0.9604375,0.002155263048668408
0.08333333333333333,0.9436830357142857,0.0025967711048150446
0.125,0.9255,0.004810741460361126
0.16666666666666666,0.9124375,0.005127665298751043
0.20833333333333331,0.8993125,0.005359510225152633
0.25,0.8714999999999999,0.0055559661415117536
0.29166666666666663,0.8567499999999999,0.005658481043075407
0.3333333333333333,0.8125625,0.005755487679400798
0.375,0.7763749999999999,0.005762455133027609
0.41666666666666663,0.7591874999999999,0.005769825218898804
0.4583333333333333,0.737375,0.005785449403865485
0.5,0.69575,0.005702674168824768
0.5416666666666666,0.6499375,0.005621846577019589
0.5833333333333333,0.6130625000000001,0.005498898171771835
0.625,0.5784374999999999,0.005416064046506409
0.6666666666666666,0.5475,0.005317946702337872
0.7083333333333333,0.50875,0.005173109133342226
0.75,0.476,0.005037363860986096
0.7916666666666666,0.4386875,0.004869210830445538
0.8333333333333333,0.411,0.0047365782311541895
0.875,0.367375,0.004516075561431905
0.9166666666666666,0.32599999999999996,0.00428653488818839
0.9583333333333333,0.29581250000000003,0.004101319665430491
1.0,0.2458125,0.003770956061682584
