lambda,fidelity
0.0,1.0
0.041666666666666664,0.9779999999999999
0.08333333333333333,0.9889999999999999
0.125,0.9694999999999997
0.16666666666666666,0.9749999999999996
0.20833333333333331,0.9269999999999997
0.25,0.9055
0.29166666666666663,0.8969999999999999
0.3333333333333333,0.8544999999999999
0.375,0.8514999999999999
0.41666666666666663,0.8165
0.4583333333333333,0.7725
0.5,0.7525
0.5416666666666666,0.702
0.5833333333333333,0.6699999999999999
0.625,0.6405
0.6666666666666666,0.6025
0.7083333333333333,0.5185
0.75,0.511
0.7916666666666666,0.46799999999999997
0.8333333333333333,0.4255
0.875,0.37300000000000005
0.9166666666666666,0.3225
0.9583333333333333,0.305
1.0,0.247
