lambda,fidelity,error
0.0,1.0,0.0
0.041666666666666664,0.988375,0.005271284421573645
0.08333333333333333,0.9708750000000002,0.00702226940369885
0.125,0.9662499999999997,0.007906014571593577
0.16666666666666666,0.9529999999999998,0.008572880341154308
0.20833333333333331,0.9266249999999999,0.009009218694447095
0.25,0.9243749999999998,0.009355898770127593
0.29166666666666663,0.8892499999999999,0.009417141742256512
0.3333333333333333,0.863,0.009476390893953246
0.375,0.8494999999999999,0.009540721523422639
0.41666666666666663,0.8227500000000001,0.009517329383485158
0.4583333333333333,0.7911249999999999,0.009404746453752754
0.5,0.7448750000000001,0.009209505640403562
0.5416666666666666,0.7140000000000001,0.009071757556077543
0.5833333333333333,0.6655,0.008805439991136161
0.625,0.6293749999999999,0.008594336684519347
0.6666666666666666,0.5841250000000001,0.00829985116112783
0.7083333333333333,0.5622499999999999,0.008160445041861994
0.75,0.5107499999999999,0.007801925593643533
0.7916666666666666,0.46412499999999995,0.00745929906748114
0.8333333333333333,0.41075000000000006,0.007032397128646817
0.875,0.373,0.0067136815184554305
0.9166666666666666,0.3233750000000001,0.006265472878452591
0.9583333333333333,0.295375,0.005995213096973701
1.0,0.25437499999999996,0.005573664533152762
