lambda,fidelity
0.0,0.0
0.041666666666666664,0.991625
0.08333333333333333,0.97175
0.125,0.9671249999999999
0.16666666666666666,0.9592500000000003
0.20833333333333331,0.90825
0.25,0.9091250000000001
0.29166666666666663,0.895875
0.3333333333333333,0.8793750000000002
0.375,0.8415
0.41666666666666663,0.8243749999999999
0.4583333333333333,0.7695
0.5,0.75425
0.5416666666666666,0.7065000000000001
0.5833333333333333,0.684
0.625,0.628125
0.6666666666666666,0.5795
0.7083333333333333,0.5597499999999999
0.75,0.5041249999999999
0.7916666666666666,0.462125
0.8333333333333333,0.4245
0.875,0.38399999999999995
0.9166666666666666,0.3307500000000001
0.9583333333333333,0.3035
1.0,0.24687499999999998
