lambda,fidelity,error
0.0,0.0,0.0
0.041666666666666664,0.991625,0.0037551038947747236
0.08333333333333333,0.97175,0.004996926209043763
0.125,0.9671249999999999,0.005757965146488282
0.16666666666666666,0.9592500000000003,0.006396294856448146
0.20833333333333331,0.90825,0.006640080869251165
0.25,0.9091250000000001,0.007077899632518662
0.29166666666666663,0.895875,0.007292907398392852
0.3333333333333333,0.8793750000000002,0.0075149220695185865
0.375,0.8415,0.007597410029750682
0.41666666666666663,0.8243749999999999,0.007759578444139273
0.4583333333333333,0.7695,0.007671780071968711
0.5,0.75425,0.007779676924325006
0.5416666666666666,0.7065000000000001,0.007683566606777171
0.5833333333333333,0.684,0.007722421824021594
0.625,0.628125,0.007488381481218217
0.6666666666666666,0.5795,0.00726892054889724
0.7083333333333333,0.5597499999999999,0.007265876385473402
0.75,0.5041249999999999,0.006924029301114729
0.7916666666666666,0.462125,0.006665560970166774
0.8333333333333333,0.4245,0.0064146431299313125
0.875,0.38399999999999995,0.006105838490483924
0.9166666666666666,0.3307500000000001,0.005617806554900342
0.9583333333333333,0.3035,0.00538915711193969
1.0,0.24687499999999998,0.004764258513104374
