lambda,fidelity
0.0,0.81
0.041666666666666664,0.9
0.08333333333333333,0.88
0.125,0.77
0.16666666666666666,0.78
0.20833333333333331,0.805
0.25,0.795
0.29166666666666663,0.77
0.3333333333333333,0.745
0.375,0.715
0.41666666666666663,0.615
0.4583333333333333,0.645
0.5,0.615
0.5416666666666666,0.675
0.5833333333333333,0.685
0.625,0.59
0.6666666666666666,0.495
0.7083333333333333,0.455
0.75,0.455
0.7916666666666666,0.455
0.8333333333333333,0.35
0.875,0.385
0.9166666666666666,0.335
0.9583333333333333,0.34
1.0,0.19
