lambda,fidelity
0.0,0.725
0.041666666666666664,0.8
0.08333333333333333,0.825
0.125,0.665
0.16666666666666666,0.785
0.20833333333333331,0.7
0.25,0.85
0.29166666666666663,0.865
0.3333333333333333,0.77
0.375,0.755
0.41666666666666663,0.7
0.4583333333333333,0.68
0.5,0.56
0.5416666666666666,0.6
0.5833333333333333,0.625
0.625,0.51
0.6666666666666666,0.64
0.7083333333333333,0.395
0.75,0.435
0.7916666666666666,0.405
0.8333333333333333,0.47
0.875,0.345
0.9166666666666666,0.295
0.9583333333333333,0.32
1.0,0.245
