lambda,fidelity_n7
0.0,1.0
0.041666666666666664,0.9962525
0.08333333333333333,0.99198
0.125,0.98631
0.16666666666666666,0.9799825
0.20833333333333331,0.97248
0.25,0.96319
0.29166666666666663,0.953015
0.3333333333333333,0.93976
0.375,0.925235
0.41666666666666663,0.9093
0.4583333333333333,0.8903275
0.5,0.86893
0.5416666666666666,0.8471725
0.5833333333333333,0.822725
0.625,0.7975575
0.6666666666666666,0.768405
0.7083333333333333,0.7384525
0.75,0.7078525
0.7916666666666666,0.6741825
0.8333333333333333,0.64232
0.875,0.6061875
0.9166666666666666,0.571365
0.9583333333333333,0.535115
1.0,0.50106
