lambda,QPA_0
0.0,1.0
0.2499999999999999,0.8141
0.2749999999999999,0.7905
0.3,0.7709
0.3249999999999999,0.7589
0.35,0.7388
0.3749999999999999,0.7185
0.3999999999999999,0.6994
0.425,0.6811
0.4499999999999999,0.6624
0.475,0.6438
0.0249999999999999,0.9815
0.4999999999999999,0.6286
0.5249999999999999,0.6067
0.5499999999999999,0.589
0.575,0.5658
0.6,0.5531
0.0499999999999999,0.9639
0.075,0.9474
0.0999999999999999,0.9262
0.1249999999999999,0.9031
0.15,0.8919
0.175,0.869
0.1999999999999999,0.8513
0.2249999999999999,0.8336
