lambda,QPA_1
0.1,0.8785
0.3083333333333333,0.6957
0.3291666666666666,0.6795
0.35,0.6608
0.3708333333333333,0.6486
0.3916666666666666,0.6362
0.4125,0.6142
0.4333333333333333,0.6069
0.4541666666666666,0.588
0.475,0.5778
0.4958333333333333,0.5586
0.1208333333333333,0.8558
0.5166666666666666,0.5551
0.5375,0.5313
0.5583333333333333,0.5256
0.5791666666666666,0.5001
0.6,0.4929
0.1416666666666666,0.832
0.1625,0.819
0.1833333333333333,0.7983
0.2041666666666666,0.7853
0.225,0.7686
0.2458333333333333,0.7484
0.2666666666666666,0.7272
0.2875,0.7142
