lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.98763
0.08333333333333333,0.97285
0.125,0.95445
0.16666666666666666,0.93663
0.20833333333333331,0.91182
0.25,0.88847
0.29166666666666663,0.86361
0.3333333333333333,0.83325
0.375,0.80329
0.41666666666666663,0.7709
0.4583333333333333,0.73921
0.5,0.70323
0.5416666666666666,0.66596
0.5833333333333333,0.63157
0.625,0.59155
0.6666666666666666,0.55443
0.7083333333333333,0.51863
0.75,0.47626
0.7916666666666666,0.43817
0.8333333333333333,0.40044
0.875,0.36504
0.9166666666666666,0.32473
0.9583333333333333,0.28794
1.0,0.25208
