lambda,fidelity_n9
0.0,1.0
0.041666666666666664,0.9966075
0.08333333333333333,0.9927325
0.125,0.988145
0.16666666666666666,0.9829725
0.20833333333333331,0.9758725
0.25,0.9683625
0.29166666666666663,0.9597
0.3333333333333333,0.949405
0.375,0.93681
0.41666666666666663,0.92245
0.4583333333333333,0.9063975
0.5,0.8872575
0.5416666666666666,0.8657575
0.5833333333333333,0.84275
0.625,0.816325
0.6666666666666666,0.787715
0.7083333333333333,0.75702
0.75,0.726355
0.7916666666666666,0.689605
0.8333333333333333,0.654265
0.875,0.6161125
0.9166666666666666,0.579025
0.9583333333333333,0.539235
1.0,0.500305
