lambda,fidelity,error
0.0,0.9377380952380951,0.0061172585826673505
0.041666666666666664,0.9229761904761904,0.00657477426517839
0.08333333333333333,0.9113095238095237,0.007130134289778967
0.125,0.8965476190476189,0.007533542112594095
0.16666666666666666,0.8720238095238095,0.007740736183731284
0.20833333333333331,0.8658333333333335,0.007975844938702894
0.25,0.8088095238095239,0.008079149219837576
0.29166666666666663,0.797142857142857,0.008013154062231131
0.3333333333333333,0.7786904761904762,0.008101572006057451
0.375,0.7661904761904761,0.008137773820757218
0.41666666666666663,0.7408333333333333,0.008090935335262252
0.4583333333333333,0.6989285714285715,0.007993075863288788
0.5,0.6677380952380952,0.007871403497586176
0.5416666666666666,0.6298809523809523,0.007733461568344938
0.5833333333333333,0.5860714285714286,0.007550028518922318
0.625,0.5520238095238095,0.007404368053739647
0.6666666666666666,0.5352380952380953,0.007313326499824503
0.7083333333333333,0.4983333333333334,0.007106518724707879
0.75,0.45345238095238094,0.0068219028211472625
0.7916666666666666,0.43000000000000005,0.006690100184316411
0.8333333333333333,0.3877380952380952,0.006397504481166522
0.875,0.35238095238095235,0.0061246012609610856
0.9166666666666666,0.31261904761904763,0.005810911254902528
0.9583333333333333,0.29297619047619045,0.005645716150734052
1.0,0.2555952380952381,0.005308561687687909
<copied file placeholder>
