lambda,QPA_3
0.0,0.9999999999999978
0.01,0.9973361113281234
0.02,0.9945021718750003
0.03,0.9915003964843725
0.04,0.9883330000000011
0.05,0.985002197265621
0.06,0.981510203124998
0.07,0.9778592324218739
0.08,0.9740514999999988
0.09,0.9700892207031254
0.1,0.965974609375
0.11,0.9617098808593753
0.12,0.957297250000001
0.13,0.9527389316406228
0.14,0.9480371406249983
0.15,0.9431940917968716
0.16,0.9382119999999994
0.17,0.9330930800781239
0.18,0.9278395468749976
0.19,0.9224536152343737
0.2,0.9169375000000017
0.21,0.9112934160156213
0.22,0.9055235781249972
0.23,0.8996302011718721
0.24,0.8936154999999978
0.25,0.8874816894531232
0.26,0.8812309843749991
0.27,0.8748655996093754
0.28,0.8683877500000005
0.29,0.8617996503906254
0.3,0.8551035156249958
0.31,0.8483015605468703
0.32,0.8413959999999983
0.33,0.8343890488281231
0.34,0.8272829218749989
0.35000000000000003,0.8200798339843743
0.36,0.8127820000000006
0.37,0.8053916347656265
0.38,0.7979109531249976
0.39,0.7903421699218726
0.4,0.7826874999999989
0.41000000000000003,0.7749491582031233
0.42,0.7671293593749984
0.43,0.7592303183593744
0.44,0.7512542499999997
0.45,0.7432033691406257
0.46,0.7350798906249971
0.47000000000000003,0.726886029296874
0.48,0.7186239999999975
0.49,0.7102960175781243
0.5,0.7019042968749984
0.51,0.693451052734373
0.52,0.6849384999999995
0.53,0.6763688535156256
0.54,0.6677443281250006
0.55,0.6590671386718732
0.56,0.6503394999999984
0.5700000000000001,0.641563626953124
0.58,0.6327417343749995
0.59,0.6238760371093748
0.6,0.6149687500000008
0.61,0.6060220878906246
0.62,0.5970382656249994
0.63,0.5880194980468738
0.64,0.5789679999999987
0.65,0.5698859863281236
0.66,0.5607756718749994
0.67,0.5516392714843751
0.68,0.542479
0.6900000000000001,0.5332970722656245
0.7000000000000001,0.5240957031250004
0.71,0.5148771074218741
0.72,0.5056434999999981
0.73,0.49639709570312346
0.74,0.48714010937499946
0.75,0.4778747558593738
0.76,0.46860324999999964
0.77,0.45932780664062445
0.78,0.45005064062499955
0.79,0.44077396679687497
0.8,0.43149999999999883
0.81,0.42223095507812375
0.8200000000000001,0.4129690468749996
0.8300000000000001,0.40371649023437467
0.84,0.39447549999999937
0.85,0.385248291015625
0.86,0.3760370781250005
0.87,0.36684407617187537
0.88,0.3576714999999992
0.89,0.3485215644531247
0.9,0.3393964843749994
0.91,0.3302984746093748
0.92,0.3212297499999993
0.93,0.31219252539062475
0.9400000000000001,0.3031890156249997
0.9500000000000001,0.29422143554687485
0.96,0.2852919999999993
0.97,0.2764029238281246
0.98,0.26755642187499945
0.99,0.2587547089843747
1.0,0.24999999999999972
