lambda,fidelity_n7
0.0,1.0
0.041666666666666664,0.99624
0.08333333333333333,0.99203
0.125,0.98639
0.16666666666666666,0.98042
0.20833333333333331,0.97196
0.25,0.96277
0.29166666666666663,0.95236
0.3333333333333333,0.94036
0.375,0.92592
0.41666666666666663,0.90957
0.4583333333333333,0.88856
0.5,0.87093
0.5416666666666666,0.84785
0.5833333333333333,0.8217
0.625,0.79856
0.6666666666666666,0.77057
0.7083333333333333,0.7401
0.75,0.70707
0.7916666666666666,0.67379
0.8333333333333333,0.63929
0.875,0.60789
0.9166666666666666,0.57044
0.9583333333333333,0.53671
1.0,0.49893
