epsilon,QPA_1
0.0,0.9849357640345195
0.0025,0.960467161700008
0.005,0.9333575641134548
0.0075,0.9049196674935766
0.01,0.8758621988078437
0.0125,0.8452383859534336
0.015,0.8152695558649131
0.0175,0.7855747564675093
0.02,0.755584797452602
0.0225,0.7281345568624105
0.025,0.6997549802344245
0.0275,0.6722905910708804
0.03,0.6465441294269955
0.0325,0.6208436678399656
0.035,0.5968659401414169
0.0375,0.5739132611616771
0.04,0.5517458226033788
0.0425,0.5311892622362864
0.045,0.5110697823303529
0.0475,0.4915176572700725
0.05,0.473223479110659
0.0525,0.4562204797712034
0.055,0.4396820789715054
0.0575,0.4239815988465165
0.06,0.4096186205055564
0.0625,0.3962523955363169
0.065,0.382058458682618
0.0675,0.3692060137267811
0.07,0.3575889432634189
0.0725,0.3456934344697991
0.075,0.3356422668838593
0.0775,0.3255929950826294
0.08,0.31582358269631
0.0825,0.3064724376167455
0.085,0.2977026473890205
0.0875,0.2887555996546761
0.09,0.2813959517302408
0.0925,0.2741914429813132
0.095,0.2668730025750772
0.0975,0.260060257992703
0.1,0.253480363062631
