epsilon,QPA_3
0.0,0.9896760337022084
0.0025,0.9630918659242378
0.025,0.6594922493525242
0.0275,0.626801608833259
0.03,0.597281163971892
0.0325,0.5703824416633162
0.035,0.5445188384928795
0.0375,0.5199439179689447
0.04,0.4952740864963912
0.0425,0.4715892942935284
0.045,0.4514478943894583
0.0475,0.4345317662849854
0.005,0.932172395920732
0.05,0.4129479400046956
0.0525,0.3984037702164875
0.055,0.3817503344448601
0.0575,0.3677664699007323
0.06,0.3520065824400804
0.0625,0.3380975639179818
0.065,0.327671817482034
0.0675,0.3146084993121962
0.07,0.3053405890681973
0.0725,0.2934021484001526
0.0075,0.8987523234214256
0.075,0.2837696929483141
0.0775,0.2741925527098552
0.08,0.2673208357943973
0.0825,0.2588315725627151
0.085,0.2506798165068729
0.0875,0.2439879820780648
0.09,0.2376492602879801
0.0925,0.230976712833422
0.095,0.2236880802798853
0.0975,0.2196793060037461
0.01,0.8631617293326223
0.0125,0.8276800904704976
0.015,0.792893177252579
0.0175,0.7578509246275373
0.02,0.7233802107497819
0.0225,0.688083499905782
