lambda,QPA_2
0.0,0.999999999999998
0.01,0.997105820312499
0.02,0.9940496875000009
0.03,0.9908337109374978
0.04,0.9874600000000014
0.05,0.9839306640624964
0.06,0.9802478124999985
0.07,0.9764135546874994
0.08,0.9724299999999992
0.09,0.9682992578125008
0.1,0.9640234375000004
0.11,0.9596046484375005
0.12,0.9550450000000016
0.13,0.9503466015624982
0.14,0.9455115624999985
0.15,0.9405419921874969
0.16,0.9354399999999997
0.17,0.9302076953124992
0.18,0.9248471874999978
0.19,0.9193605859374993
0.2,0.9137500000000023
0.21,0.9080175390624968
0.22,0.9021653124999974
0.23,0.8961954296874974
0.24,0.8901099999999981
0.25,0.8839111328124987
0.26,0.8776009374999992
0.27,0.8711815234375008
0.28,0.8646550000000007
0.29,0.8580234765625007
0.3,0.8512890624999963
0.31,0.8444538671874958
0.32,0.8375199999999987
0.33,0.8304895703124987
0.34,0.8233646874999992
0.35000000000000003,0.8161474609374995
0.36,0.808840000000001
0.37,0.8014444140625016
0.38,0.7939628124999979
0.39,0.7863973046874977
0.4,0.7787499999999992
0.41000000000000003,0.7710230078124986
0.42,0.7632184374999985
0.43,0.7553383984375
0.44,0.747385
0.45,0.739360351562501
0.46,0.7312665624999973
0.47000000000000003,0.7231057421874992
0.48,0.7148799999999976
0.49,0.7065914453124995
0.5,0.698242187499999
0.51,0.6898343359374983
0.52,0.6813699999999998
0.53,0.6728512890625007
0.54,0.6642803125000007
0.55,0.6556591796874983
0.56,0.6469899999999985
0.5700000000000001,0.6382748828124992
0.58,0.6295159374999997
0.59,0.6207152734375001
0.6,0.6118750000000011
0.61,0.6029972265624997
0.62,0.5940840624999997
0.63,0.5851376171874989
0.64,0.5761599999999989
0.65,0.5671533203124989
0.66,0.5581196874999996
0.67,0.5490612109375002
0.68,0.5399800000000001
0.6900000000000001,0.5308781640624997
0.7000000000000001,0.5217578125000005
0.71,0.5126210546874992
0.72,0.5034699999999983
0.73,0.49430675781249844
0.74,0.48513343749999954
0.75,0.475952148437499
0.76,0.46676499999999976
0.77,0.4575741015624997
0.78,0.4483815624999997
0.79,0.4391894921875
0.8,0.429999999999999
0.81,0.420815195312499
0.8200000000000001,0.4116371874999998
0.8300000000000001,0.4024680859374997
0.84,0.39330999999999944
0.85,0.3841650390625001
0.86,0.3750353125000005
0.87,0.3659229296875005
0.88,0.3568299999999994
0.89,0.34775863281249986
0.9,0.33871093749999975
0.91,0.3296890234375
0.92,0.32069499999999945
0.93,0.3117309765624998
0.9400000000000001,0.3027990624999999
0.9500000000000001,0.2939013671875
0.96,0.2850399999999994
0.97,0.2762170703124997
0.98,0.2674346874999995
0.99,0.2586949609374997
1.0,0.24999999999999978
