epsilon,steps,fidelity,shots
0.0,2,1.0000000000000324,20000
0.0,4,1.0000000000000384,20000
0.0,6,0.9999999999999956,20000
0.0,8,0.9999999999999888,20000
0.0,10,1.0000000000000122,20000
0.0,12,1.0000000000000142,20000
0.0,14,1.0000000000000395,20000
0.0,16,1.0000000000000229,20000
0.0,18,0.9999999999999396,20000
0.0,20,1.00000000000006,20000
0.0005,2,0.9837122053861664,20000
0.0005,4,0.981477987999042,20000
0.0005,6,0.9771330749748072,20000
0.0005,8,0.973881709777395,20000
0.0005,10,0.9711513240018844,20000
0.0005,12,0.969697495219736,20000
0.0005,14,0.9662440691193208,20000
0.0005,16,0.9649698132366892,20000
0.0005,18,0.9601317020648908,20000
0.0005,20,0.957615820660362,20000
0.001,2,0.9671588938056568,20000
0.001,4,0.9582128198083926,20000
0.001,6,0.9532255491102568,20000
0.001,8,0.9462271350534324,20000
0.001,10,0.9400761805034024,20000
0.001,12,0.934132673100138,20000
0.001,14,0.9277829271972816,20000
0.001,16,0.9196552888341184,20000
0.001,18,0.9130783155326552,20000
0.001,20,0.9028767032649316,20000
0.0015,2,0.9507877297025988,20000
0.0015,4,0.938087050837896,20000
0.0015,6,0.9236804617305068,20000
0.0015,8,0.9161082392431292,20000
0.0015,10,0.905394165862516,20000
0.0015,12,0.8951557328442556,20000
0.0015,14,0.8840517126649821,20000
0.0015,16,0.8696372268657675,20000
0.0015,18,0.8580117933243298,20000
0.0015,20,0.8442225209971455,20000
0.002,2,0.9293604180896712,20000
0.002,4,0.9144354160083884,20000
0.002,6,0.8975284709535759,20000
0.002,8,0.8838146969414752,20000
0.002,10,0.8705017727760265,20000
0.002,12,0.8500617291447511,20000
0.002,14,0.836900958475757,20000
0.002,16,0.8169427844888093,20000
0.002,18,0.7961528962597486,20000
0.002,20,0.7838925914581919,20000
0.0025,2,0.9137231505123392,20000
0.0025,4,0.8894573047550033,20000
0.0025,6,0.8706912801663258,20000
0.0025,8,0.8521526269501358,20000
0.0025,10,0.8342844895491628,20000
0.0025,12,0.8104878813728809,20000
0.0025,14,0.7897564253235789,20000
0.0025,16,0.7647414131204024,20000
0.0025,18,0.74000892578496,20000
0.0025,20,0.7200567844359518,20000
0.003,2,0.8949491243201377,20000
0.003,4,0.8662872022069205,20000
0.003,6,0.8438094447715146,20000
0.003,8,0.8164258007666226,20000
0.003,10,0.792617147885012,20000
0.003,12,0.7654565708326294,20000
0.003,14,0.7427222510891347,20000
0.003,16,0.7161589534639977,20000
0.003,18,0.6856233797683201,20000
0.003,20,0.6625386126994013,20000
0.0035,2,0.8786391744886599,20000
0.0035,4,0.8461343893552591,20000
0.0035,6,0.8147591939368952,20000
0.0035,8,0.7869693980268175,20000
0.0035,10,0.7568637322746559,20000
0.0035,12,0.7265365462881057,20000
0.0035,14,0.6970323229647466,20000
0.0035,16,0.6636585290510487,20000
0.0035,18,0.6333514888735047,20000
0.0035,20,0.6060680463962204,20000
0.004,2,0.8583356526875608,20000
0.004,4,0.8194436175138603,20000
0.004,6,0.7887217282227511,20000
0.004,8,0.7549264811693059,20000
0.004,10,0.7221307216081357,20000
0.004,12,0.68899625664762,20000
0.0045,2,0.8373770880367338,20000
0.0045,4,0.7991972554078912,20000
0.0045,6,0.7617183661111742,20000
0.0045,8,0.7275368975828833,20000
0.0045,10,0.6902594626330987,20000
0.0045,12,0.6501514986570064,20000
0.0045,14,0.6169426457112805,20000
0.0045,16,0.5840097756396936,20000
0.0045,18,0.5506974928445633,20000
0.0045,20,0.5221808133766481,20000
0.005,2,0.8224869513340497,20000
0.005,4,0.7816194435974562,20000
0.005,6,0.7386254681563729,20000
0.005,8,0.6981960971728988,20000
0.005,10,0.6572911727202866,20000
0.005,12,0.6209689697114018,20000
0.005,14,0.5788877095372434,20000
0.005,16,0.545204352912281,20000
0.005,18,0.5110690256188548,20000
0.005,20,0.4877314302231416,20000
