epsilon,steps,fidelity,shots
0.0,2,1.0000000000000009,50000
0.0,4,0.9999999999999978,50000
0.0,6,0.999999999999999,50000
0.0,8,0.9999999999999956,50000
0.0,10,1.000000000000006,50000
0.0,12,1.0000000000000018,50000
0.0,14,0.9999999999999932,50000
0.0,16,0.999999999999992,50000
0.0,18,0.9999999999999922,50000
0.0,20,1.000000000000009,50000
0.0005,2,0.991441423600332,50000
0.0005,4,0.9829620365298726,50000
0.0005,6,0.9745852625449892,50000
0.0005,8,0.9663051480738092,50000
0.0005,10,0.95812004796558,50000
0.0005,12,0.9500287181137148,50000
0.0005,14,0.9420300219034856,50000
0.0005,16,0.934122868237706,50000
0.0005,18,0.9263061923741454,50000
0.0005,20,0.918578948515807,50000
0.001,2,0.9829430650436626,50000
0.001,4,0.9662381506255502,50000
0.001,6,0.9499250728157852,50000
0.001,8,0.9339855112938412,50000
0.001,10,0.9184098885282184,50000
0.001,12,0.903189594721845,50000
0.001,14,0.8883163990327111,50000
0.001,16,0.8737823220015692,50000
0.001,18,0.85957959338474,50000
0.001,20,0.8457006335127875,50000
0.0015,2,0.9745047265762806,50000
0.0015,4,0.9498238285446368,50000
0.0015,6,0.9260001004325028,50000
0.0015,8,0.9029905020027648,50000
0.0015,10,0.8807657180323837,50000
0.0015,12,0.8592985348132571,50000
0.0015,14,0.8385629350100425,50000
0.0015,16,0.818533882223913,50000
0.0015,18,0.7991872341144283,50000
0.0015,20,0.7804996915867617,50000
0.002,2,0.9661262108171618,50000
0.002,4,0.9337146049031472,50000
0.002,6,0.9027914353167256,50000
0.002,8,0.873271195762941,50000
0.002,10,0.8450882955145713,50000
0.002,12,0.8181815565422512,50000
0.002,14,0.7924929239802097,50000
0.002,16,0.7679670966047792,50000
0.002,18,0.7445513323483454,50000
0.002,20,0.7221953057922728,50000
0.0025,2,0.9578073207575408,50000
0.0025,4,0.917906062299504,50000
0.0025,6,0.8802805800577026,50000
0.0025,8,0.844780282889012,50000
0.0025,10,0.8112827593604203,50000
0.0025,12,0.7796742736874176,50000
0.0025,14,0.7498479406752051,50000
0.0025,16,0.7217030598564621,50000
0.0025,18,0.6951446809972252,50000
0.0025,20,0.670083246907046,50000
0.003,2,0.9495478597605416,50000
0.003,4,0.9023938309408552,50000
0.003,6,0.8584494423932736,50000
0.003,8,0.8174720212231521,50000
0.003,10,0.7792584506650809,50000
0.003,12,0.7436214027045799,50000
0.003,14,0.7103867011782682,50000
0.003,16,0.679392105695319,50000
0.003,18,0.6504864053897252,50000
0.003,20,0.6235286358182686,50000
0.0035,2,0.9413476315607524,50000
0.0035,4,0.8871735882714907,50000
0.0035,6,0.8372803278037902,50000
0.0035,8,0.7913021901247164,50000
0.0035,10,0.7489287430743042,50000
0.0035,12,0.7098762932911714,50000
0.0035,14,0.6738839905061851,50000
0.0035,16,0.6407116592934587,50000
0.0035,18,0.6101380612255158,50000
0.0035,20,0.5819593641999964,50000
0.004,2,0.9332064402638472,50000
0.004,4,0.8722410586035448,50000
0.004,6,0.8167559322179001,50000
0.004,8,0.766228045647321,50000
0.004,10,0.7202108788912703,50000
0.004,12,0.6783004814244652,50000
0.004,14,0.6401296533299675,50000
0.004,16,0.6053642396069845,50000
0.004,18,0.5737000470420054,50000
0.004,20,0.5448601159116768,50000
0.0045,2,0.925124090346171,50000
0.0045,4,0.857592012749806,50000
0.0045,6,0.796859334828576,50000
0.0045,8,0.7422082768762563,50000
0.0045,10,0.6930258112398644,50000
0.0045,12,0.6487632638774624,50000
0.0045,14,0.6089276443429971,50000
0.0045,16,0.5730756016576939,50000
0.0045,18,0.540808306962673,50000
0.0045,20,0.5117669363830889,50000
0.005,2,0.9171003866543552,50000
0.005,4,0.843222267658763,50000
0.005,6,0.777573991018195,50000
0.005,8,0.7192029634002306,50000
0.005,10,0.6672980520820384,50000
0.005,12,0.6211412932577188,50000
0.005,14,0.5800951349673408,50000
0.005,16,0.5435930094682975,50000
0.005,18,0.5111313012783668,50000
0.005,20,0.4822623016986599,50000
